#,"Date Time, GMT-04:00","Abs Pres, kPa","Temp, °C",sensorID
1,5/8/2023 12:45,101.841,21.664,21411067
2,5/8/2023 12:46,,,21411067
3,5/8/2023 13:00,108.686,21.282,21411067
4,5/8/2023 13:15,108.632,21.187,21411067
5,5/8/2023 13:30,108.556,21.091,21411067
6,5/8/2023 13:45,108.453,21.091,21411067
7,5/8/2023 14:00,108.36,21.091,21411067
8,5/8/2023 14:15,108.216,21.091,21411067
9,5/8/2023 14:30,108.092,21.091,21411067
10,5/8/2023 14:45,107.979,21.091,21411067
11,5/8/2023 15:00,107.855,21.091,21411067
12,5/8/2023 15:15,107.711,21.091,21411067
13,5/8/2023 15:30,107.556,21.091,21411067
14,5/8/2023 15:45,107.443,21.091,21411067
15,5/8/2023 16:00,107.319,21.091,21411067
16,5/8/2023 16:15,107.196,21.091,21411067
17,5/8/2023 16:30,107.062,21.091,21411067
18,5/8/2023 16:45,106.948,21.091,21411067
19,5/8/2023 17:00,106.866,21.091,21411067
20,5/8/2023 17:15,106.794,21.091,21411067
21,5/8/2023 17:30,106.732,21.091,21411067
22,5/8/2023 17:45,106.649,21.091,21411067
23,5/8/2023 18:00,106.639,21.091,21411067
24,5/8/2023 18:15,106.619,21.091,21411067
25,5/8/2023 18:30,106.608,21.091,21411067
26,5/8/2023 18:45,106.588,21.091,21411067
27,5/8/2023 19:00,106.536,21.091,21411067
28,5/8/2023 19:15,106.546,21.091,21411067
29,5/8/2023 19:30,106.536,21.091,21411067
30,5/8/2023 19:45,106.557,21.091,21411067
31,5/8/2023 20:00,106.546,21.091,21411067
32,5/8/2023 20:15,106.526,21.091,21411067
33,5/8/2023 20:30,106.557,21.091,21411067
34,5/8/2023 20:45,106.567,21.091,21411067
35,5/8/2023 21:00,106.588,21.091,21411067
36,5/8/2023 21:15,106.598,21.091,21411067
37,5/8/2023 21:30,106.629,21.091,21411067
38,5/8/2023 21:45,106.605,20.996,21411067
39,5/8/2023 22:00,106.629,21.091,21411067
40,5/8/2023 22:15,106.639,21.091,21411067
41,5/8/2023 22:30,106.66,21.091,21411067
42,5/8/2023 22:45,106.646,20.996,21411067
43,5/8/2023 23:00,106.646,20.996,21411067
44,5/8/2023 23:15,106.667,20.996,21411067
45,5/8/2023 23:30,106.677,20.996,21411067
46,5/8/2023 23:45,106.677,20.996,21411067
47,5/9/2023 0:00,106.688,20.996,21411067
48,5/9/2023 0:15,106.657,20.996,21411067
49,5/9/2023 0:30,106.615,20.996,21411067
50,5/9/2023 0:45,106.595,20.996,21411067
51,5/9/2023 1:00,106.554,20.996,21411067
52,5/9/2023 1:15,106.533,20.996,21411067
53,5/9/2023 1:30,106.471,20.996,21411067
54,5/9/2023 1:45,106.461,20.996,21411067
55,5/9/2023 2:00,106.42,20.996,21411067
56,5/9/2023 2:15,106.378,20.996,21411067
