"sensorID","sampleNo","DateTime","temp","result_value","unit","parameter","region","transect","plot","tidal","Date_formatted","Year","DOY"
21445979,1,"5/8/23 12:00",25.69,7.6,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 12:00:00,2023,128
21445979,2,"5/8/23 12:00",NA,NA,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 12:00:00,2023,128
21445979,3,"5/8/23 12:15",22.36,1415.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 12:15:00,2023,128
21445979,4,"5/8/23 12:30",22.28,1427.8,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 12:30:00,2023,128
21445979,5,"5/8/23 12:45",22.22,1426.2,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 12:45:00,2023,128
21445979,6,"5/8/23 13:00",22.16,1424.2,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 13:00:00,2023,128
21445979,7,"5/8/23 13:15",22.13,1424.3,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 13:15:00,2023,128
21445979,8,"5/8/23 13:30",22.11,1423.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 13:30:00,2023,128
21445979,9,"5/8/23 13:45",22.09,1423.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 13:45:00,2023,128
21445979,10,"5/8/23 14:00",22.09,1423.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 14:00:00,2023,128
21445979,11,"5/8/23 14:15",22.08,1422.7,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 14:15:00,2023,128
21445979,12,"5/8/23 14:30",22.08,1423.1,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 14:30:00,2023,128
21445979,13,"5/8/23 14:45",22.08,1423.1,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 14:45:00,2023,128
21445979,14,"5/8/23 15:00",22.08,1423.1,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 15:00:00,2023,128
21445979,15,"5/8/23 15:15",22.08,1423.1,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 15:15:00,2023,128
21445979,16,"5/8/23 15:30",22.08,1423.1,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 15:30:00,2023,128
21445979,17,"5/8/23 15:45",22.08,1423.1,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 15:45:00,2023,128
21445979,18,"5/8/23 16:00",22.08,1422.7,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 16:00:00,2023,128
21445979,19,"5/8/23 16:15",22.08,1422.2,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 16:15:00,2023,128
21445979,20,"5/8/23 16:30",22.08,1422.7,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 16:30:00,2023,128
21445979,21,"5/8/23 16:45",22.08,1422.7,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 16:45:00,2023,128
21445979,22,"5/8/23 17:00",22.08,1422.7,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 17:00:00,2023,128
21445979,23,"5/8/23 17:15",22.08,1422.2,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 17:15:00,2023,128
21445979,24,"5/8/23 17:30",22.08,1422.2,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 17:30:00,2023,128
21445979,25,"5/8/23 17:45",22.08,1421.4,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 17:45:00,2023,128
21445979,26,"5/8/23 18:00",22.08,1421.8,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 18:00:00,2023,128
21445979,27,"5/8/23 18:15",22.09,1421.8,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 18:15:00,2023,128
21445979,28,"5/8/23 18:30",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 18:30:00,2023,128
21445979,29,"5/8/23 18:45",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 18:45:00,2023,128
21445979,30,"5/8/23 19:00",22.09,1421.4,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 19:00:00,2023,128
21445979,31,"5/8/23 19:15",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 19:15:00,2023,128
21445979,32,"5/8/23 19:30",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 19:30:00,2023,128
21445979,33,"5/8/23 19:45",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 19:45:00,2023,128
21445979,34,"5/8/23 20:00",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 20:00:00,2023,128
21445979,35,"5/8/23 20:15",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 20:15:00,2023,128
21445979,36,"5/8/23 20:30",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 20:30:00,2023,128
21445979,37,"5/8/23 20:45",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 20:45:00,2023,128
21445979,38,"5/8/23 21:00",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 21:00:00,2023,128
21445979,39,"5/8/23 21:15",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 21:15:00,2023,128
21445979,40,"5/8/23 21:30",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 21:30:00,2023,128
21445979,41,"5/8/23 21:45",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 21:45:00,2023,128
21445979,42,"5/8/23 22:00",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 22:00:00,2023,128
21445979,43,"5/8/23 22:15",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 22:15:00,2023,128
21445979,44,"5/8/23 22:30",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 22:30:00,2023,128
21445979,45,"5/8/23 22:45",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 22:45:00,2023,128
21445979,46,"5/8/23 23:00",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 23:00:00,2023,128
21445979,47,"5/8/23 23:15",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 23:15:00,2023,128
21445979,48,"5/8/23 23:30",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 23:30:00,2023,128
21445979,49,"5/8/23 23:45",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-08 23:45:00,2023,128
21445979,50,"5/9/23 00:00",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09,2023,129
21445979,51,"5/9/23 00:15",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 00:15:00,2023,129
21445979,52,"5/9/23 00:30",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 00:30:00,2023,129
21445979,53,"5/9/23 00:45",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 00:45:00,2023,129
21445979,54,"5/9/23 01:00",22.09,1421.4,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 01:00:00,2023,129
21445979,55,"5/9/23 01:15",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 01:15:00,2023,129
21445979,56,"5/9/23 01:30",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 01:30:00,2023,129
21445979,57,"5/9/23 01:45",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 01:45:00,2023,129
21445979,58,"5/9/23 02:00",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 02:00:00,2023,129
21445979,59,"5/9/23 02:15",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 02:15:00,2023,129
21445979,60,"5/9/23 02:30",22.09,1421,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 02:30:00,2023,129
21445979,61,"5/9/23 02:45",22.09,1420.5,"uS/CM","SpC","WLD","Old",5,"subtidal",2023-05-09 02:45:00,2023,129
