#,"Date Time, GMT-04:00","Full Range, μS/cm","Temp, °C",sensorID
1,5/8/23 12:11,6.6,24.45,21445986
2,5/8/23 12:11,,,21445986
3,5/8/23 12:26,1665.3,21.78,21445986
4,5/8/23 12:41,1666.8,21.65,21445986
5,5/8/23 12:56,1664.3,21.58,21445986
6,5/8/23 13:11,1664.4,21.54,21445986
7,5/8/23 13:26,1664.5,21.51,21445986
8,5/8/23 13:41,1664.5,21.49,21445986
9,5/8/23 13:56,1665.4,21.47,21445986
10,5/8/23 14:11,1664.6,21.46,21445986
11,5/8/23 14:26,1665,21.46,21445986
12,5/8/23 14:41,1663.7,21.45,21445986
13,5/8/23 14:56,1663.7,21.45,21445986
14,5/8/23 15:11,1662.4,21.45,21445986
15,5/8/23 15:26,1662.4,21.45,21445986
16,5/8/23 15:41,1662.8,21.45,21445986
17,5/8/23 15:56,1662.4,21.45,21445986
18,5/8/23 16:11,1662.4,21.45,21445986
19,5/8/23 16:26,1661.9,21.45,21445986
20,5/8/23 16:41,1661.9,21.45,21445986
21,5/8/23 16:56,1662.4,21.45,21445986
22,5/8/23 17:11,1662.4,21.45,21445986
23,5/8/23 17:26,1662.4,21.46,21445986
24,5/8/23 17:41,1662.4,21.46,21445986
25,5/8/23 17:56,1662.4,21.45,21445986
26,5/8/23 18:11,1662.4,21.46,21445986
27,5/8/23 18:26,1662.4,21.45,21445986
28,5/8/23 18:41,1663.2,21.46,21445986
29,5/8/23 18:56,1662.8,21.46,21445986
30,5/8/23 19:11,1662.4,21.46,21445986
31,5/8/23 19:26,1663.2,21.46,21445986
32,5/8/23 19:41,1663.7,21.46,21445986
33,5/8/23 19:56,1663.7,21.46,21445986
34,5/8/23 20:11,1663.2,21.46,21445986
35,5/8/23 20:26,1663.2,21.46,21445986
36,5/8/23 20:41,1663.2,21.46,21445986
37,5/8/23 20:56,1663.7,21.46,21445986
38,5/8/23 21:11,1663.2,21.46,21445986
39,5/8/23 21:26,1663.2,21.46,21445986
40,5/8/23 21:41,1663.2,21.46,21445986
41,5/8/23 21:56,1663.7,21.46,21445986
42,5/8/23 22:11,1663.7,21.46,21445986
43,5/8/23 22:26,1663.7,21.46,21445986
44,5/8/23 22:41,1663.7,21.46,21445986
45,5/8/23 22:56,1663.7,21.46,21445986
46,5/8/23 23:11,1663.7,21.46,21445986
47,5/8/23 23:26,1663.7,21.46,21445986
48,5/8/23 23:41,1663.7,21.46,21445986
49,5/8/23 23:56,1663.7,21.46,21445986
50,5/9/23 00:11,1663.7,21.46,21445986
51,5/9/23 00:26,1663.7,21.46,21445986
52,5/9/23 00:41,1663.7,21.46,21445986
53,5/9/23 00:56,1664.6,21.46,21445986
54,5/9/23 01:11,1663.6,21.47,21445986
55,5/9/23 01:26,1664.5,21.47,21445986
56,5/9/23 01:41,1664.1,21.46,21445986
57,5/9/23 01:56,1664.6,21.46,21445986
58,5/9/23 02:11,1664.5,21.47,21445986
59,5/9/23 02:26,1664.6,21.46,21445986
60,5/9/23 02:41,1665,21.46,21445986
61,5/9/23 02:56,1664.5,21.47,21445986
62,5/9/23 03:11,1664.1,21.47,21445986
63,5/9/23 03:26,1665,21.46,21445986
64,5/9/23 03:41,1664.5,21.47,21445986
65,5/9/23 03:56,1664.6,21.46,21445986
66,5/9/23 04:11,1664.5,21.47,21445986
67,5/9/23 04:26,1665,21.46,21445986
68,5/9/23 04:41,1665,21.46,21445986
69,5/9/23 04:56,1665,21.47,21445986
70,5/9/23 05:11,1664.6,21.46,21445986
71,5/9/23 05:26,1665,21.46,21445986
72,5/9/23 05:41,1665,21.46,21445986
73,5/9/23 05:56,1665,21.46,21445986
74,5/9/23 06:11,1665,21.46,21445986
75,5/9/23 06:26,1664.6,21.46,21445986
76,5/9/23 06:41,1664.6,21.46,21445986
77,5/9/23 06:56,1664.1,21.46,21445986
78,5/9/23 07:11,1664.6,21.46,21445986
79,5/9/23 07:26,1664.6,21.46,21445986
80,5/9/23 07:41,1664.6,21.46,21445986
81,5/9/23 07:56,1664.1,21.46,21445986
82,5/9/23 08:11,1663.3,21.45,21445986
83,5/9/23 08:26,1663.8,21.38,21445986
84,5/9/23 08:41,1661.4,21.28,21445986
85,5/9/23 08:56,1666.3,21.23,21445986
86,5/9/23 09:11,1671.2,21.21,21445986
87,5/9/23 09:26,1673.8,21.23,21445986
88,5/9/23 09:41,1677.3,21.25,21445986
89,5/9/23 09:56,1680.7,21.29,21445986
90,5/9/23 10:11,1682.9,21.32,21445986
