#,"Date Time, GMT-05:00","Abs Pres, kPa","Temp, C",sensorID
1,3/9/23 13:50,101.927,28.06,21411067
2,3/9/23 14:05,105.345,22.142,21411067
3,3/9/23 14:20,105.38,20.996,21411067
4,3/9/23 14:35,105.394,20.805,21411067
5,3/9/23 14:50,105.442,20.71,21411067
6,3/9/23 15:05,105.463,20.71,21411067
7,3/9/23 15:20,105.46,20.615,21411067
8,3/9/23 15:35,105.47,20.615,21411067
9,3/9/23 15:50,105.49,20.615,21411067
10,3/9/23 16:05,105.501,20.615,21411067
11,3/9/23 16:20,105.49,20.615,21411067
12,3/9/23 16:35,105.48,20.615,21411067
13,3/9/23 16:50,105.47,20.615,21411067
14,3/9/23 17:05,105.46,20.615,21411067
15,3/9/23 17:20,105.46,20.615,21411067
16,3/9/23 17:35,105.47,20.615,21411067
17,3/9/23 17:50,105.46,20.615,21411067
18,3/9/23 18:05,105.449,20.615,21411067
19,3/9/23 18:20,105.48,20.615,21411067
20,3/9/23 18:35,105.48,20.615,21411067
21,3/9/23 18:50,105.501,20.615,21411067
22,3/9/23 19:05,105.48,20.615,21411067
23,3/9/23 19:20,105.49,20.615,21411067
24,3/9/23 19:35,105.49,20.615,21411067
25,3/9/23 19:50,105.48,20.615,21411067
26,3/9/23 20:05,105.49,20.615,21411067
27,3/9/23 20:20,105.511,20.615,21411067
28,3/9/23 20:35,105.49,20.615,21411067
29,3/9/23 20:50,105.501,20.615,21411067
30,3/9/23 21:05,105.511,20.615,21411067
31,3/9/23 21:20,105.511,20.615,21411067
32,3/9/23 21:35,105.501,20.615,21411067
33,3/9/23 21:50,105.521,20.615,21411067
34,3/9/23 22:05,105.521,20.615,21411067
35,3/9/23 22:20,105.532,20.615,21411067
36,3/9/23 22:35,105.552,20.615,21411067
37,3/9/23 22:50,105.562,20.615,21411067
38,3/9/23 23:05,105.552,20.615,21411067
39,3/9/23 23:20,105.562,20.615,21411067
40,3/9/23 23:35,105.552,20.615,21411067
41,3/9/23 23:50,105.542,20.615,21411067
42,3/10/23 00:05,105.532,20.615,21411067
43,3/10/23 00:20,105.542,20.615,21411067
44,3/10/23 00:35,105.552,20.615,21411067
45,3/10/23 00:50,105.542,20.615,21411067
46,3/10/23 01:05,105.535,20.71,21411067
47,3/10/23 01:20,105.524,20.71,21411067
48,3/10/23 01:35,105.504,20.71,21411067
49,3/10/23 01:50,105.463,20.71,21411067
50,3/10/23 02:05,105.494,20.71,21411067
51,3/10/23 02:20,105.504,20.71,21411067
52,3/10/23 02:35,105.483,20.71,21411067
53,3/10/23 02:50,105.514,20.71,21411067
54,3/10/23 03:05,105.524,20.71,21411067
55,3/10/23 03:20,105.535,20.71,21411067
56,3/10/23 03:35,105.504,20.71,21411067
57,3/10/23 03:50,105.504,20.71,21411067
58,3/10/23 04:05,105.504,20.71,21411067
59,3/10/23 04:20,105.483,20.71,21411067
60,3/10/23 04:35,105.473,20.71,21411067
61,3/10/23 04:50,105.494,20.71,21411067
62,3/10/23 05:05,105.463,20.71,21411067
63,3/10/23 05:20,105.473,20.71,21411067
64,3/10/23 05:35,105.483,20.71,21411067
65,3/10/23 05:50,105.473,20.71,21411067
66,3/10/23 06:05,105.452,20.71,21411067
67,3/10/23 06:20,105.463,20.71,21411067
68,3/10/23 06:35,105.452,20.71,21411067
69,3/10/23 06:50,105.432,20.71,21411067
70,3/10/23 07:05,105.473,20.71,21411067
71,3/10/23 07:20,105.504,20.71,21411067
72,3/10/23 07:35,105.497,20.805,21411067
73,3/10/23 07:50,105.528,20.805,21411067
74,3/10/23 08:05,105.528,20.805,21411067
75,3/10/23 08:20,105.538,20.805,21411067
76,3/10/23 08:35,105.517,20.805,21411067
77,3/10/23 08:50,105.528,20.805,21411067
78,3/10/23 09:05,105.538,20.805,21411067
79,3/10/23 09:20,105.517,20.805,21411067
80,3/10/23 09:35,105.538,20.805,21411067
81,3/10/23 09:50,105.517,20.805,21411067
82,3/10/23 10:05,105.528,20.805,21411067
83,3/10/23 10:20,105.569,20.805,21411067
84,3/10/23 10:35,105.579,20.805,21411067
85,3/10/23 10:50,105.589,20.805,21411067
86,3/10/23 11:05,105.589,20.805,21411067
87,3/10/23 11:20,105.579,20.805,21411067
88,3/10/23 11:35,105.6,20.805,21411067
89,3/10/23 11:50,105.641,20.805,21411067
90,3/10/23 12:05,105.672,20.805,21411067
91,3/10/23 12:20,105.71,20.71,21411067
92,3/10/23 12:35,105.741,20.71,21411067
93,3/10/23 12:50,105.734,20.805,21411067
94,3/10/23 13:05,105.754,20.805,21411067
95,3/10/23 13:20,105.744,20.805,21411067
96,3/10/23 13:35,105.754,20.805,21411067
97,3/10/23 13:50,105.764,20.805,21411067
98,3/10/23 14:05,105.764,20.805,21411067
99,3/10/23 14:20,105.744,20.805,21411067
100,3/10/23 14:35,105.775,20.805,21411067
101,3/10/23 14:50,105.754,20.805,21411067
102,3/10/23 15:05,105.754,20.805,21411067
103,3/10/23 15:20,105.744,20.805,21411067
104,3/10/23 15:35,105.713,20.805,21411067
105,3/10/23 15:50,105.703,20.805,21411067
106,3/10/23 16:05,105.682,20.805,21411067
107,3/10/23 16:20,105.661,20.805,21411067
108,3/10/23 16:35,105.651,20.805,21411067
109,3/10/23 16:50,105.672,20.805,21411067
110,3/10/23 17:05,105.672,20.805,21411067
111,3/10/23 17:20,105.661,20.805,21411067
112,3/10/23 17:35,105.651,20.805,21411067
113,3/10/23 17:50,105.62,20.805,21411067
114,3/10/23 18:05,105.61,20.805,21411067
115,3/10/23 18:20,105.6,20.805,21411067
116,3/10/23 18:35,105.579,20.805,21411067
117,3/10/23 18:50,105.589,20.805,21411067
118,3/10/23 19:05,105.569,20.805,21411067
119,3/10/23 19:20,105.559,20.805,21411067
120,3/10/23 19:35,105.548,20.805,21411067
121,3/10/23 19:50,105.579,20.805,21411067
122,3/10/23 20:05,105.569,20.805,21411067
123,3/10/23 20:20,105.559,20.805,21411067
124,3/10/23 20:35,105.559,20.805,21411067
125,3/10/23 20:50,105.569,20.805,21411067
126,3/10/23 21:05,105.6,20.805,21411067
127,3/10/23 21:20,105.589,20.805,21411067
128,3/10/23 21:35,105.589,20.805,21411067
129,3/10/23 21:50,105.6,20.805,21411067
130,3/10/23 22:05,105.6,20.805,21411067
131,3/10/23 22:20,105.631,20.805,21411067
132,3/10/23 22:35,105.61,20.805,21411067
133,3/10/23 22:50,105.61,20.805,21411067
134,3/10/23 23:05,105.6,20.805,21411067
135,3/10/23 23:20,105.6,20.805,21411067
136,3/10/23 23:35,105.559,20.805,21411067
137,3/10/23 23:50,105.548,20.805,21411067
138,3/11/23 00:05,105.548,20.805,21411067
139,3/11/23 00:20,105.548,20.805,21411067
140,3/11/23 00:35,105.548,20.805,21411067
141,3/11/23 00:50,105.548,20.805,21411067
142,3/11/23 01:05,105.538,20.805,21411067
143,3/11/23 01:20,105.538,20.805,21411067
144,3/11/23 01:35,105.538,20.805,21411067
145,3/11/23 01:50,105.528,20.805,21411067
146,3/11/23 02:05,105.517,20.805,21411067
147,3/11/23 02:20,105.486,20.805,21411067
148,3/11/23 02:35,105.486,20.805,21411067
149,3/11/23 02:50,105.466,20.805,21411067
150,3/11/23 03:05,105.445,20.805,21411067
151,3/11/23 03:20,105.428,20.901,21411067
152,3/11/23 03:35,105.418,20.901,21411067
153,3/11/23 03:50,105.407,20.901,21411067
154,3/11/23 04:05,105.397,20.901,21411067
155,3/11/23 04:20,105.376,20.901,21411067
156,3/11/23 04:35,105.376,20.901,21411067
157,3/11/23 04:50,105.387,20.901,21411067
158,3/11/23 05:05,105.376,20.901,21411067
159,3/11/23 05:20,105.356,20.901,21411067
160,3/11/23 05:35,105.356,20.901,21411067
161,3/11/23 05:50,105.335,20.901,21411067
162,3/11/23 06:05,105.335,20.901,21411067
163,3/11/23 06:20,105.335,20.901,21411067
164,3/11/23 06:35,105.325,20.901,21411067
165,3/11/23 06:50,105.325,20.901,21411067
166,3/11/23 07:05,105.325,20.901,21411067
167,3/11/23 07:20,105.325,20.901,21411067
168,3/11/23 07:35,105.315,20.901,21411067
169,3/11/23 07:50,105.325,20.901,21411067
170,3/11/23 08:05,105.315,20.901,21411067
